nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19116209,756102,America
Uruguay,3473727,176215,America
Estados Unidos,331893745,9833520,America
España,47351567,505990,Europa
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
Italia,59554023,301340,Europa
Japon,125800000,377975,Asia
China,1412360000,9596961,Asia
India,1380004385,3287263,Asia
Australia,25687041,7692024,Oceania
Egipto,102334404,1002450,Africa
Sudafrica,59308690,1221037,Africa
